C0,C1,C2,C3,C4,C5,C6,C7,C8
vazio,Casa,vazio,Avenida Nossa Senhora da Luz,"Hugo Lange, Curitiba",            300 m²,            5 dorms,Aluguel: R$ 11.250,Total: R$ 12.124
vazio,Casa,vazio,Rua Daniel Brambila,"Capão Raso, Curitiba",            150 m²,            3 dorms,Aluguel: R$ 3.200,Total: R$ 3.388
vazio,Casa,vazio,Alameda Júlia da Costa,"Bigorrilho, Curitiba",            360 m²,            3 dorms,Aluguel: R$ 4.690,Total: R$ 5.181
vazio,Apartamento,              Exclusivo,Rua Alberto Otto,"Santa Cândida, Curitiba",            45 m²,            2 dorms,Aluguel: R$ 875,Total: R$ 1.219
vazio,Apartamento,              Exclusivo,Rua Alberto Otto,"Santa Cândida, Curitiba",            45 m²,            2 dorms,Aluguel: R$ 875,Total: R$ 1.219
vazio,Apartamento,              Exclusivo,Rua Padre Anchieta,"Campina do Siqueira, Curitiba",            43 m²,            1 dorms,Aluguel: R$ 1.280,Total: R$ 1.645
vazio,Apartamento,              Exclusivo,Rua Thereza Lopes Skroski,"Santa Cândida, Curitiba",            48 m²,            2 dorms,Aluguel: R$ 680,Total: R$ 956
vazio,Studio e kitnet,              Exclusivo,Rua Andorinhas,"Novo Mundo, Curitiba",            25 m²,            1 dorms,Aluguel: R$ 800,Total: R$ 952
vazio,Casa em Condomínio,vazio,Rua Pedro Gusso,"Capão Raso, Curitiba",            62 m²,            2 dorms,Aluguel: R$ 2.040,Total: R$ 2.445
vazio,Studio e kitnet,vazio,Rua Jaboticabas,"Uberaba, Curitiba",            20 m²,            1 dorms,Aluguel: R$ 512,Total: R$ 531
vazio,Apartamento,              Exclusivo,Rua Luiz Barreto Murat,"Bairro Alto, Curitiba",            38 m²,            1 dorms,Aluguel: R$ 1.097,Total: R$ 1.210
vazio,Apartamento,              Exclusivo,Rua Pastor Júlio de Oliveira Roza,"Cajuru, Curitiba",            41 m²,            1 dorms,Aluguel: R$ 650,Total: R$ 727
vazio,Apartamento,vazio,Rua das Carmelitas,"Boqueirão, Curitiba",            40 m²,            1 dorms,Aluguel: R$ 680,Total: R$ 1.037
vazio,Casa,              Exclusivo,Rua Desembargador Ernâni Almeida de Abreu,"Tatuquara, Curitiba",            25 m²,            1 dorms,Aluguel: R$ 663,Total: R$ 731
vazio,Casa,              Exclusivo,Rua Ivo Pereira de Carvalho,"Uberaba, Curitiba",            220 m²,            3 dorms,Aluguel: R$ 2.800,Total: R$ 3.081
vazio,Apartamento,vazio,Rua Paschoal Bordignon,"Jardim Botânico, Curitiba",            89 m²,            3 dorms,Aluguel: R$ 1.923,Total: R$ 2.468
vazio,Apartamento,vazio,Rua Paschoal Bordignon,"Jardim Botânico, Curitiba",            89 m²,            3 dorms,Aluguel: R$ 1.923,Total: R$ 2.468
vazio,Casa,              Exclusivo,Rua Antônio Jonque Filho,"Uberaba, Curitiba",            300 m²,            5 dorms,Aluguel: R$ 4.880,Total: R$ 5.495
vazio,Apartamento,              Originals,Rua Brigadeiro Franco,"Centro, Curitiba",            68 m²,            2 dorms,Aluguel: R$ 2.600,Total: R$ 3.235
vazio,Apartamento,vazio,Rua Salustiano Cordeiro,"Água Verde, Curitiba",            107 m²,            3 dorms,Aluguel: R$ 2.174,Total: R$ 2.860
vazio,Apartamento,vazio,Rua Urbano Lopes,"Cristo Rei , Curitiba",            150 m²,            3 dorms,Aluguel: R$ 12.000,Total: R$ 13.760
vazio,Apartamento,vazio,Rua Izaac Ferreira da Cruz,"Sítio Cercado, Curitiba",            51 m²,            2 dorms,Aluguel: R$ 1.130,Total: R$ 1.469
vazio,Casa,              Exclusivo,Rua Antônio de Oliveira Santos,"Cidade Industrial de Curitiba, Curitiba",            90 m²,            3 dorms,Aluguel: R$ 1.360,Total: R$ 1.415
vazio,Casa em Condomínio,vazio,Alameda das Hortênsias,"Mossunguê , Curitiba",            450 m²,            4 dorms,Aluguel: R$ 10.000,Total: R$ 11.784
vazio,Studio e kitnet,              Exclusivo,Rua Mamoré,"Mercês, Curitiba",            27 m²,            1 dorms,Aluguel: R$ 1.020,Total: R$ 1.057
vazio,Studio e kitnet,              Originals,Rua Augusto de Mari,"Portão , Curitiba",            28 m²,            1 dorms,Aluguel: R$ 1.600,Total: R$ 1.941
vazio,Apartamento,              Originals,Rua Alípia Marques Verchai,"Portão , Curitiba",            90 m²,            3 dorms,Aluguel: R$ 1.500,Total: R$ 2.333
vazio,Studio e kitnet,              Exclusivo,Rua Mamoré,"Mercês, Curitiba",            25 m²,            1 dorms,Aluguel: R$ 1.020,Total: R$ 1.057
vazio,Casa,              Exclusivo,Rua Desembargador Ernâni Almeida de Abreu,"Tatuquara, Curitiba",            50 m²,            1 dorms,Aluguel: R$ 671,Total: R$ 748
